"id","name","city","country_code","state_province","latitude","longitude","ports","power_kw","power_class","is_fast_dc"
130269,Greenway Polska Galeria Veneda Łomża,Łomża,PL,"",53.169803,22.076547,1,50,DC_FAST_(50-149kW),true
130268,Greenway Polska Kaufland Suwałki,Suwałki,PL,Suwałki,54.125444,22.944178,1,40,AC_HIGH_(22-49kW),false
130267,Greenway Polska Intermarche Ostróda,Ostróda,PL,"",53.689451,19.983479,1,40,AC_HIGH_(22-49kW),false
130266,Greenway Polska Hotel & Restauracja Olivia Ryki,Ryki,PL,"",51.63894,21.913023,1,40,AC_HIGH_(22-49kW),false
130265,Greenway Polska Hotel & Restauracja Sulbin Garwolin,Garwolin,PL,"",51.867771,21.644983,1,40,AC_HIGH_(22-49kW),false
130264,Greenway Polska Stacja Paliw ABC Chromna,Chromna,PL,"",52.108304,22.387064,1,40,AC_HIGH_(22-49kW),false
130263,Greenway Polska Zajazd Orchidea Ostrów Mazowiecka,Ostrów Mazowiecka,PL,"",52.753749,21.786393,1,40,AC_HIGH_(22-49kW),false
130262,Greenway Polska Bricomarche Wyszków,wyszków,PL,"",52.603069,21.535905,1,40,AC_HIGH_(22-49kW),false
130261,Greenway Polska Stacja Paliw Gramax,Mława,PL,Mława,53.118056,20.398833,1,40,AC_HIGH_(22-49kW),false
130260,Greenway Polska Ptak Warsaw Expo Nadarzyn,Wolica,PL,gmina Nadarzyn,52.107089,20.833192,1,50,DC_FAST_(50-149kW),true
130259,Greenway Polska Nowa Stacja Pruszków,Pruszków,PL,Pruszków,52.165312,20.792727,1,22,AC_HIGH_(22-49kW),false
130258,Greenway Polska Galeria Łomianki,Gmina Łomianki,PL,gmina Łomianki,52.32426,20.90105,1,50,DC_FAST_(50-149kW),true
128427,PKN Orlen,Sucha,PL,gmina Białobrzegi,51.620237,20.974218,2,50,DC_FAST_(50-149kW),true
128094,Parking miejski - PGE,Rzeszów,PL,podkarpackie,50.026964,22.022105,2,50,DC_FAST_(50-149kW),true
128093,"PGE Nowa Energia, 8 Marca",Rzeszów,PL,podkarpackie,50.038332,22.012319,2,50,DC_FAST_(50-149kW),true
128092,Rzeszów PGE,Rzeszów,PL,podkarpackie,50.038171,21.993901,2,50,DC_FAST_(50-149kW),true
127871,Hotel Medical Spa Unitral,"",PL,"",54.260324,16.05716,1,11,AC_L2_(7.5-21kW),false
127720,Greenway Polska Malinowy Bzyk Dalanówek,Dalanówek,PL,mazowieckie,52.589006,20.452655,2,40,AC_HIGH_(22-49kW),false
127212,MAKRO Gdańsk - RAWICOM,Wiślina,PL,pomorskie,54.337397,18.735277,2,50,DC_FAST_(50-149kW),true
127188,Greenway - Restauracja Stare Jabłonki,Pikutkowo,PL,kujawsko-pomorskie,52.625285,18.969342,1,140,DC_FAST_(50-149kW),true
127186,Greenway Hotel 500,Stryków,PL,łódzkie,51.892511,19.593581,2,50,DC_FAST_(50-149kW),true
126917,PKN Orlen ul. Św. Barbary,Częstochowa,PL,śląskie,50.802769,19.087621,2,50,DC_FAST_(50-149kW),true
